sent_nr	sentence	question	answer
1	Anne lost control and laughed.	-	-
2	Billy wrote on the envelope.	Was it Bob who wrote?	n
3	He called over his shoulder.	-	-
4	He stayed against the wall.	-	-
5	Helen ran to the toilet.	Did Helen go quickly?	y
6	I cannot tell you more.	-	-
7	Michael gave Adam two pounds.	Did Michael get some money?	n
8	Roger smiled and sat down.	Did Roger smile?	y
9	Things were looking up again.	-	-
10	This man's hair is black.	Is the man blond?	n
11	Turn your hearing aid up.	Should you turn the hearing aid off?	n
12	You'll demand nothing of me.	-	-
13	A horse has thrown a shoe.	-	-
14	A tube train took his legs.	Did he lose both legs?	y
15	Five will be listening for sure.	Will anyone listen?	y
16	Gordon felt his anger build up.	Did Gordon feel happy?	n
17	Harry smiled at his little brother.	Does Harry have a younger sibling?	y
18	He needed putting in his place.	-	-
19	He shouted and the calling ceased.	-	-
20	He uses his belt on you.	-	-
21	He's broken his wrists very badly.	Was his foot broken?	n
22	I am touched deeply in places.	-	-
23	I don't want to hear it.	-	-
24	I knew I heard your voice.	Did anyone hear a voice?	y
25	I wouldn't want to miss this.	-	-
26	Jack walked up to the door.	Was Jack on his feet?	y
27	Ross sat back down and shivered.	Was Ross on his feet when he shivered?	n
28	She couldn't help feel for Alex.	-	-
29	The bored looking soldier just pointed.	Did the soldier seem interested?	n
30	The campaign will pay for itself.	-	-
31	They're riding out to meet them.	Are they driving out?	n
32	We barely escaped with our lives.	Did we make it out alive?	y
33	We've been travelling almost three days.	Did we travel for a week?	n
34	Alice is looking for somewhere to live.	-	-
35	Alan forgot to shave again this morning.	Did Alan shave this morning?	n
36	Have a carriage sent for us immediately.	Do we want a carriage?	y
37	He probably doesn't want people to know.	Does he mind if people find out?	y
38	He put the fork on the table.	Was it a knife that he put on the table?	n
39	I'll give him more than a slap.	-	-
40	Andrew nodded and stood against the counter.	Did Andrew shake his head?	n
41	Looks like a walk did the trick.	-	-
42	Sam felt proud when he went home.	Did Sam feel good about himself?	y
43	Scott got up and washed his plate.	Did Scott do any dishes?	y
44	Simon nodded and walked into the room.	Did Simon stay out of the room?	n
45	Steve sat down to eat his lunch.	-	-
46	Ted smiled and bit his bottom lip.	-	-
47	Thomas stepped back and shook his head.	Did Thomas nod?	n
48	Tom stood up and wiped his jeans.	Was Tom sitting down when he wiped his jeans?	n
49	Tony stopped off at his first delivery.	-	-
50	Normally they want to cut things up.	-	-
51	Powerful in the wrong hands, is that.	Can that be dangerous?	y
52	She had refused to leave her home.	Did she want to stay home?	y
53	She hid the boxes and matches well.	Did she take out the matches?	n
54	The bored looking soldier continued looking bored.	Was it a policeman who was looking bored?	n
55	The dead must not kill the living.	-	-
56	The prison guard walked along the row.	-	-
57	The van is your lead, follow that.	Should you follow the van?	y
58	You're getting up early in the morning.	-	-
59	After lunch he was told he had visitors.	-	-
60	Albert spoke before Barbara had a chance to.	Did Barbara speak first?	n
61	Come within the walls to escape the enemy.	Is the enemy within the walls?	n
62	Follow me closely and watch for their leader.	-	-
63	He called out but she did not move.	-	-
64	He sat down and began to eat breakfast.	Did he eat sitting down?	y
65	He slammed the knife down on the lamb.	Did he try to kill an animal?	y
66	He staggered into the chair at his desk.	-	-
67	I do not spare the birds a killing.	-	-
68	I think our friend's demands are well justified.	Does the friend want anything?	y
69	Let us leave these poor people in peace.	-	-
70	Walter closed the door and took a breath.	-	-
71	William sat down and tucked into his breakfast.	Did William have breakfast?	y
72	Alec stood against the wall to steady himself.	-	-
73	No-one else had dared step within the ring.	Did anyone dare step within the ring?	y
74	None of the city people dress like that.	-	-
75	She saw the throwing knife in his hand.	Was she holding the knife?	n
76	She was smiling in the dark, teeth flashing.	Was it dark?	y
77	Shut your smart foul mouth and sit down.	Were you told to be quiet?	y
78	Tell me what really happened to the truck.	-	-
79	The door was opened and Alexander walked out.	-	-
80	There were choked screams and shouts of dismay.	Did anyone raise his voice?	y
81	There will be men to kill either way.	-	-
82	They were definitely holding hands underneath the table.	-	-
83	Claudia still teaches and still claims to hate it.	Does Claudia like teaching?	n
84	Burn him now, don't wait for him to escape.	-	-
85	Don't die of cold before you die in battle.	-	-
86	Good God, if you are watching, give me strength.	-	-
87	He heaved his shoulders and swung the axe again.	Was he holding an axe?	y
88	He is after glory and heads for his hall.	-	-
89	He just wished he could talk to his dad.	-	-
90	He lay his sword aside and extended his hands.	Did he put down the sword?	y
91	He sighed and walked back to the wood shop.	Did he stay away from the wood shop?	n
92	He smiled when she let out a big yawn.	Did he yawn?	n
93	He was leaning against his truck smoking a joint.	Does he own a truck?	y
94	I was thinking of getting the band together again.	Did the band break up?	y
95	It is a narrow ship, much like our own.	Is our ship wide?	n
96	Arthur placed the bars of chocolate on the counter.	-	-
97	John gave Bernard a hard slap on the head.	Did Bernard hit John?	n
98	Let's get out and I'll buy you a drink.	-	-
99	Let's have the gates closed and go home early.	Will the gates be shut?	y
100	Andrew closed the office door on the way out.	Did Andrew leave the office?	y
101	Charles felt sick to the pit of his stomach.	Was Charles feeling all right?	n
102	Christopher groaned and lay his hands across his stomach.	-	-
103	Dave kicked him in the stomach and Paul groaned.	Did Dave groan?	n
104	Dexter opened his letter and found a photograph inside.	Did the letter contain a photograph?	y
105	Duncan took a breath and wanted to be sick.	-	-
106	Edward washed his hands and flicked water at Bob.	Did Edward get his hands wet?	y
107	She turned and saw him standing in her path.	-	-
108	They turned round just as Frankie walked toward them.	-	-
109	Underneath the table her hand was gripping the chair.	-	-
110	Whether Peter heard him or not Gabriel didn't care.	-	-
111	You give me a lead and I'll follow it.	-	-
112	All the bowls from the empty tables are cleared up.	Were there any bowls on the tables before clearing up?	y
113	His dark hair was just visible under his white hat.	Is he blond?	n
114	His men will not follow him and they are few.	Does he have many followers?	n
115	I'll break your neck if you don't fix that water.	-	-
116	Ian gave Geoffrey a hard slap across his right ear.	Was Geoffrey slapped?	y
117	Jake smiled again at his baby daughter, she was perfect.	Was the baby Jake’s?	y
118	Jimmy liked the fact they were calling him Jim.	-	-
119	Brian sniffed and wiped his grubby hand across his nose.	-	-
120	Phil let him go and Charlie fell to the ground.	Did Phil fall?	n
121	Let me through and you'll hear nothing more of it.	-	-
122	Men could be paid to do all sorts of things.	-	-
123	Gilbert sat as still as he could nursing his lip.	Was Gilbert standing up?	n
124	Jacques sighed and tried to move out of the way.	Was Jacques in the way?	y
125	Jamie took a cigarette and Andy gave him a light.	Did Andy give Jamie a light?	y
126	Joseph walked into the office and removed his flat cap.	Did Joseph walk out of the office?	n
127	She would soon be found if she tried to hide.	-	-
128	The brothers stood up and came down from the platform.	-	-
129	Anthony was approached, just as he had predicted, in the park.	Was Anthony in the park?	y
130	Despite what Frank had told her Ellen thanked the young soldier.	Did Frank thank the young soldier?	n
131	He called earlier and I already arranged to go swimming tomorrow.	-	-
132	He drove his truck home and walked down to the village.	Is his home in the village?	n
133	He held his mother tight and she cried into his chest.	Did his mother cry?	y
134	He went to the door and walked out of the room.	-	-
135	His helmet was lost but he could still do some damage.	Did his still have his helmet?	n
136	Ken just hoped he wasn't taking his temper out on Chris.	Was Ken in a bad mood?	y
137	Lawrence rubbed the back of his neck and hung his head.	-	-
138	Lewis sat down and Lucy laid her hand on his cheek.	Did Lucy touch Lewis?	y
139	Matthew stood against the wall with his hands behind his back.	Did Matthew touch the wall?	y
140	Run along home now and bring us some men to kill.	-	-
141	She just kept telling herself he had to learn a lesson.	Did she tell herself to learn a lesson?	n
142	She wound up talking to Barry about her time in India.	Has she been to India?	y
143	The gate was double, one huge mass of wood following another.	Was the gate made of iron?	n
144	The gathered villagers took a step back, almost as one man.	-	-
145	We shall arrive properly or you will never live this down.	-	-
146	While they sat drinking their tea, Mick dug them a trench.	Were they drinking?	y
147	You know better than to talk to your mother like that.	-	-
148	You know that I will do whatever you ask of me.	Will I do anything you ask?	y
149	You shouldn't have been racing my truck in the first place.	Did you use my truck?	y
150	A smile came to his lips as he thought of an idea.	-	-
151	All last week there was a white van parked across the street.	Was the van blue?	n
152	Finally Maria sat down with a cup of tea and a sandwich.	-	-
153	Have that carriage sent down and have servants bring wine and water.	-	-
154	He didn't seem to mind that she was screaming in his ear.	Was he screaming in her ear?	n
155	He drank too much at times and washed too little at times.	Did he sometime drink a lot?	y
156	He folded his arms across his chest and put out his lip.	-	-
157	He had another shock when they told him he was moving cells.	Was he surprised by what he was told?	y
158	He put his hands in his pockets and leaned against the truck.	Did he fold his arms?	n
159	He was built with muscle and liked to throw his weight around.	Was he a large man?	y
160	I am trying, old man, but I would rather kill the ship.	-	-
161	I shall have a victory and I want it to be remembered.	Do I believe that I will lose?	n
162	In the morning Mickey stood straight with his hand behind his back.	Was Mickey upright?	y
163	In the morning at breakfast Mike smiled at the letter he received.	Was Mike happy to get a letter?	y
164	It had been two weeks since Philip had been sent to prison.	Had Philip been in prison for over a month?	n
165	It is not the most fragrant of places but we make do.	-	-
166	James walked in to wake Samuel at four thirty in the morning.	Was it John who woke Samuel?	n
167	David came running into the waiting room and went straight to Stephen.	Was Stephen in the waiting room?	y
168	Dennis was standing at the entrance to the workshop smiling at Terry.	-	-
169	Let us give battle to these foreign snakes once and for all.	-	-
170	Tommy came out of the staff room toilet looking a little pale.	Was Tommy looking pale?	y
